,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 30",40,182,10982,3444.5,00:00.0,3468.886432,12033173.08,632,4682,7832,182,182,7832,263.836773,-1700.317073,0.790593231
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 30",45,26,9026,2616,00:00.0,2849.533455,8119840.909,326,4526,6762.363636,53.27272727,53.27272727,6576,195.7509881,-1690.521739,0.814047047
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 25",50,3,5983,664,00:00.0,1792.472924,3212959.184,18,183,2615.916667,3.416666667,4.25,2406.461538,67.33013205,-985.5882353,0.299828325
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 31",50,15,7015,1322,00:00.0,1872.437296,3506021.429,115,1565,3748.333333,31.66666667,31.66666667,3580.384615,96.37695078,-1039.235294,0.562977103
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 31",40,182,10982,3812,00:00.0,3709.11559,13757538.46,482,7382,8822,182,182,8312,279.6247655,-1640.682927,0.77673546
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 31",45,26,9026,2282.666667,00:00.0,2750.466903,7565068.182,326,4376,6066.909091,53.27272727,53.27272727,5926,180.5928854,-1690.376812,0.743665316
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 26",50,3,5978,658.9,00:00.0,1792.163409,3211849.684,8,183,2597.583333,5.083333333,5.916666667,2405.307692,67.20792317,-987.6941176,0.298844091
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 32",50,15,7015,1401,00:00.0,1881.381386,3539595.918,115,2315,3881.666667,31.66666667,31.66666667,3761.153846,100.729892,-1066.882353,0.609146825
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 27",50,3,5958,672.9,00:00.0,1781.872579,3175069.888,8,198,2634.666667,4.666666667,5.5,2442.230769,68.16734694,-997.2,0.310998596
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 32",40,182,10982,3729.5,00:00.0,3468.021493,12027173.08,482,4382,8672,182,182,8672,276.8386492,-1668.853659,0.870868304
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 32",45,26,9026,2136,00:00.0,2583.945187,6676772.727,26,3776,6026,26,53.27272727,5388.5,159.7826087,-1379.217391,0.659601327
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 33",50,15,7015,1167,00:00.0,1876.056437,3519587.755,115,915,3531.666667,48.33333333,52.5,3330.384615,88.33613445,-997.2352941,0.471133426
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 28",50,3,5983,672.6,00:00.0,1789.937247,3203875.347,13,143,2630.5,5.5,5.5,2439.153846,68.04705882,-994.5529412,0.307115716
